windDir,windSpeed,temp,dewPoint,pressure
0,0,3,3,1030
0,0,1,1,1030
0,0,0,0,1029
0,0,3,3,1030
50,3,8,7,1029
0,0,16,8,1027
0,2,13,7,1026
0,0,7,5,1027
0,0,4,3,1027
0,0,2,2,1026
0,0,2,2,1026
