tilt,prec,rad
90.0,180.0,2.0
90.0,180.0,1.99409483024
90.0,180.0,1.9881826468
90.0,180.0,1.98226350112
90.0,180.0,1.97633744463
90.0,180.0,1.9704045288
90.0,180.0,1.96446480515
90.0,180.0,1.95851832517
90.0,180.0,1.95256514043
90.0,180.0,1.94660530246
90.0,180.0,1.94063886287
90.0,180.0,1.93466587325
90.0,180.0,1.92868638522
90.0,180.0,1.92270045045
90.0,180.0,1.91670812058
90.0,180.0,1.9107094473
90.0,180.0,1.90470448232
90.0,180.0,1.89869327736
90.0,180.0,1.89267588415
90.0,180.0,1.88665235444
90.0,180.0,1.88062274003
90.0,180.0,1.87458709268
90.0,180.0,1.86854546421
90.0,180.0,1.86249790644
90.0,180.0,1.85644447121
90.0,180.0,1.85038521035
90.0,180.0,1.84432017575
90.0,180.0,1.83824941927
90.0,180.0,1.83217299282
90.0,180.0,1.82609094828
90.0,180.0,1.82000333759
90.0,180.0,1.81391021267
90.0,180.0,1.80781162546
90.0,180.0,1.80170762791
90.0,180.0,1.79559827198
90.0,180.0,1.78948360965
90.0,180.0,1.7833636929
90.0,180.0,1.77723857372
90.0,180.0,1.7711083041
90.0,180.0,1.76497293607
90.0,180.0,1.75883252163
90.0,180.0,1.75268711281
90.0,180.0,1.74653676164
90.0,180.0,1.74038152015
90.0,180.0,1.7342214404
90.0,180.0,1.72805657443
90.0,180.0,1.72188697429
90.0,180.0,1.71571269205
90.0,180.0,1.70953377976
90.0,180.0,1.7033502895
90.0,180.0,1.69716227334
90.0,180.0,1.69096978335
90.0,180.0,1.6847728716
90.0,180.0,1.67857159018
90.0,180.0,1.67236599117
90.0,180.0,1.66615612665
90.0,180.0,1.65994204869
90.0,180.0,1.65372380939
90.0,180.0,1.64750146083
90.0,180.0,1.64127505508
90.0,190.0,1.63504464423
90.0,190.0,1.62881028036
90.0,190.0,1.62257201555
90.0,190.0,1.61632990187
90.0,190.0,1.61008399139
90.0,190.0,1.60383433619
90.0,190.0,1.59758098832
90.0,190.0,1.59132399986
90.0,190.0,1.58506342285
90.0,190.0,1.57879930935
90.0,190.0,1.5725317114
90.0,190.0,1.56626068105
90.0,190.0,1.55998627034
90.0,190.0,1.55370853127
90.0,190.0,1.54742751589
90.0,190.0,1.54114327619
90.0,190.0,1.53485586419
90.0,190.0,1.52856533187
90.0,190.0,1.52227173124
90.0,190.0,1.51597511425
90.0,190.0,1.50967553289
90.0,190.0,1.5033730391
90.0,190.0,1.49706768484
90.0,190.0,1.49075952203
90.0,190.0,1.4844486026
90.0,190.0,1.47813497847
90.0,190.0,1.47181870153
90.0,190.0,1.46549982366
90.0,190.0,1.45917839675
90.0,190.0,1.45285447264
90.0,190.0,1.44652810318
90.0,190.0,1.4401993402
90.0,190.0,1.43386823551
100.0,190.0,1.42753484092
100.0,190.0,1.4211992082
100.0,190.0,1.41486138912
100.0,190.0,1.40852143543
100.0,190.0,1.40217939886
100.0,190.0,1.39583533113
100.0,190.0,1.38948928392
100.0,190.0,1.38314130892
100.0,190.0,1.37679145779
100.0,190.0,1.37043978215
100.0,190.0,1.36408633363
100.0,190.0,1.35773116383
100.0,190.0,1.35137432432
100.0,190.0,1.34501586666
100.0,190.0,1.33865584239
100.0,190.0,1.332294303
100.0,190.0,1.32593129999
100.0,190.0,1.31956688484
100.0,190.0,1.31320110897
100.0,190.0,1.3068340238
100.0,190.0,1.30046568074
100.0,190.0,1.29409613115
100.0,190.0,1.28772542637
100.0,190.0,1.28135361772
100.0,190.0,1.2749807565
100.0,190.0,1.26860689396
100.0,200.0,1.26223208135
100.0,200.0,1.25585636988
100.0,200.0,1.24947981073
100.0,200.0,1.24310245505
100.0,200.0,1.23672435398
100.0,200.0,1.23034555861
100.0,200.0,1.22396612
100.0,200.0,1.2175860892
100.0,200.0,1.21120551721
100.0,200.0,1.20482445501
100.0,200.0,1.19844295355
100.0,200.0,1.19206106373
100.0,200.0,1.18567883644
100.0,200.0,1.17929632252
100.0,200.0,1.1729135728
100.0,200.0,1.16653063806
100.0,200.0,1.16014756904
100.0,200.0,1.15376441646
100.0,200.0,1.14738123099
100.0,200.0,1.14099806329
100.0,200.0,1.13461496397
100.0,200.0,1.12823198359
100.0,200.0,1.12184917269
100.0,200.0,1.11546658177
100.0,200.0,1.1090842613
100.0,200.0,1.10270226171
100.0,200.0,1.09632063336
100.0,200.0,1.08993942663
100.0,200.0,1.08355869181
100.0,200.0,1.07717847919
100.0,200.0,1.07079883898
100.0,200.0,1.06441982137
100.0,200.0,1.05804147653
100.0,200.0,1.05166385456
100.0,200.0,1.04528700552
100.0,200.0,1.03891097945
100.0,200.0,1.03253582632
100.0,200.0,1.02616159608
100.0,200.0,1.01978833862
100.0,200.0,1.01341610381
100.0,200.0,1.00704494144
100.0,200.0,1.00067490129
100.0,200.0,0.994306033084
100.0,200.0,0.987938386491
100.0,200.0,0.981572011145
100.0,200.0,0.97520695663
100.0,200.0,0.968843272486
100.0,200.0,0.962481008204
100.0,200.0,0.95612021323
100.0,200.0,0.94976093696
100.0,200.0,0.943403228744
100.0,200.0,0.937047137883
100.0,200.0,0.930692713628
100.0,200.0,0.924340005182
100.0,200.0,0.917989061699
100.0,200.0,0.911639932281
100.0,200.0,0.905292665982
100.0,200.0,0.898947311803
100.0,200.0,0.892603918695
100.0,210.0,0.886262535556
100.0,210.0,0.879923211234
100.0,210.0,0.873585994522
100.0,210.0,0.867250934163
100.0,210.0,0.860918078845
100.0,210.0,0.854587477202
100.0,210.0,0.848259177816
100.0,210.0,0.841933229211
110.0,210.0,0.835609679859
110.0,210.0,0.829288578176
110.0,210.0,0.822969972523
110.0,210.0,0.816653911204
110.0,210.0,0.810340442466
110.0,210.0,0.8040296145
110.0,210.0,0.797721475441
110.0,210.0,0.791416073364
110.0,210.0,0.785113456286
110.0,210.0,0.778813672169
110.0,210.0,0.772516768912
110.0,210.0,0.766222794357
110.0,210.0,0.759931796285
110.0,210.0,0.75364382242
110.0,210.0,0.747358920422
110.0,210.0,0.741077137892
110.0,210.0,0.734798522369
110.0,210.0,0.728523121332
110.0,210.0,0.722250982197
110.0,210.0,0.715982152318
110.0,210.0,0.709716678984
110.0,210.0,0.703454609426
110.0,210.0,0.697195990806
110.0,210.0,0.690940870225
110.0,210.0,0.68468929472
110.0,210.0,0.678441311262
110.0,210.0,0.672196966758
110.0,210.0,0.665956308049
110.0,210.0,0.659719381911
110.0,210.0,0.653486235052
110.0,210.0,0.647256914116
110.0,210.0,0.641031465678
110.0,210.0,0.634809936246
110.0,210.0,0.628592372262
110.0,210.0,0.622378820098
110.0,210.0,0.616169326058
110.0,210.0,0.609963936379
110.0,210.0,0.603762697225
110.0,210.0,0.597565654694
110.0,210.0,0.591372854812
110.0,210.0,0.585184343537
110.0,210.0,0.579000166753
110.0,210.0,0.572820370275
110.0,210.0,0.566644999848
110.0,210.0,0.560474101141
110.0,210.0,0.554307719755
110.0,210.0,0.548145901217
110.0,210.0,0.541988690979
110.0,210.0,0.535836134424
110.0,210.0,0.529688276858
110.0,210.0,0.523545163513
110.0,220.0,0.517406839549
110.0,220.0,0.51127335005
110.0,220.0,0.505144740024
110.0,220.0,0.499021054404
110.0,220.0,0.492902338049
110.0,220.0,0.48678863574
110.0,220.0,0.480679992181
110.0,220.0,0.474576452
110.0,220.0,0.468478059749
110.0,220.0,0.4623848599
110.0,220.0,0.456296896849
110.0,220.0,0.450214214912
110.0,220.0,0.444136858328
110.0,220.0,0.438064871255
110.0,220.0,0.431998297773
