ArrDelay,Distance,ctime,cwday,cdate
23.0,740,225.0,154,10
67.0,144,105.0,154,10
1.0,187,150.0,154,10
9.0,187,180.0,154,10
28.0,187,270.0,154,10
58.0,340,120.0,154,10
13.0,340,300.0,154,10
6.0,340,210.0,205,10
36.0,288,180.0,205,10
68.0,760,150.0,205,10
6.0,766,195.0,205,10
53.0,1522,225.0,205,10
24.0,589,315.0,205,10
15.0,740,180.0,205,10
1.0,766,285.0,205,10
29.0,213,225.0,205,10
11.0,589,225.0,205,10
27.0,766,150.0,205,10
35.0,740,315.0,205,10
103.0,740,225.0,205,10
73.0,184,255.0,205,10
5.0,483,240.0,205,10
3.0,508,270.0,205,10
6.0,213,165.0,257,10
49.0,340,210.0,257,10
334.0,209,105.0,257,10
89.0,288,180.0,257,10
31.0,264,105.0,257,10
117.0,264,225.0,257,10
16.0,760,150.0,257,10
66.0,213,120.0,257,10
60.0,184,120.0,257,10
61.0,766,195.0,257,10
46.0,508,120.0,257,10
15.0,145,135.0,257,10
32.0,425,210.0,257,10
9.0,892,150.0,257,10
62.0,1522,225.0,257,10
178.0,892,225.0,257,10
323.0,740,180.0,257,10
84.0,340,180.0,257,10
298.0,106,105.0,257,10
124.0,267,255.0,257,10
111.0,213,225.0,257,10
92.0,589,225.0,257,10
12.0,740,150.0,257,10
87.0,766,150.0,257,10
2.0,740,315.0,257,10
58.0,184,225.0,257,10
30.0,589,180.0,257,10
78.0,425,120.0,257,10
178.0,740,225.0,257,10
33.0,184,255.0,257,10
62.0,144,105.0,257,10
42.0,187,150.0,257,10
184.0,187,180.0,257,10
34.0,508,210.0,257,10
36.0,340,120.0,257,10
68.0,483,300.0,257,10
1.0,340,300.0,257,10
395.0,267,180.0,257,10
137.0,94,240.0,257,10
2.0,106,210.0,308,10
58.0,106,225.0,308,10
8.0,184,225.0,308,10
29.0,589,180.0,308,10
3.0,508,210.0,308,10
2.0,209,180.0,0,10
22.0,144,240.0,0,10
3.0,760,150.0,0,10
5.0,426,225.0,0,10
15.0,1522,225.0,0,10
19.0,106,225.0,0,10
75.0,589,315.0,0,10
1.0,340,180.0,0,10
25.0,766,285.0,0,10
6.0,267,255.0,0,10
17.0,589,225.0,0,10
71.0,766,150.0,0,10
26.0,184,225.0,0,10
13.0,740,225.0,0,10
14.0,144,105.0,0,10
14.0,508,210.0,0,10
19.0,187,270.0,0,10
4.0,267,180.0,0,10
5.0,508,270.0,0,10
13.0,213,300.0,0,10
49.0,340,210.0,51,10
16.0,144,240.0,51,10
213.0,213,120.0,51,10
218.0,184,120.0,51,10
53.0,425,300.0,51,10
70.0,425,210.0,51,10
22.0,1522,225.0,51,10
7.0,106,225.0,51,10
22.0,589,315.0,51,10
39.0,740,180.0,51,10
19.0,340,180.0,51,10
15.0,766,285.0,51,10
6.0,426,270.0,51,10
50.0,589,225.0,51,10
13.0,740,315.0,51,10
43.0,184,225.0,51,10
37.0,589,180.0,51,10
26.0,508,210.0,51,10
75.0,187,270.0,51,10
4.0,483,300.0,51,10
27.0,340,300.0,51,10
45.0,340,210.0,102,10
15.0,209,105.0,102,10
36.0,264,105.0,102,10
4.0,184,120.0,102,10
21.0,508,120.0,102,10
117.0,425,210.0,102,10
46.0,1522,225.0,102,10
11.0,94,300.0,102,10
14.0,589,315.0,102,10
7.0,892,225.0,102,10
9.0,340,180.0,102,10
26.0,106,105.0,102,10
4.0,740,150.0,102,10
11.0,589,180.0,102,10
8.0,184,255.0,102,10
8.0,483,240.0,102,10
8.0,94,240.0,102,10
6.0,288,180.0,154,20
19.0,264,105.0,154,20
12.0,144,240.0,154,20
4.0,760,150.0,154,20
4.0,892,150.0,154,20
6.0,106,105.0,154,20
25.0,426,270.0,154,20
18.0,740,150.0,154,20
4.0,187,150.0,154,20
10.0,508,210.0,154,20
39.0,187,270.0,154,20
2.0,213,165.0,205,20
11.0,340,210.0,205,20
181.0,760,150.0,205,20
1.0,184,120.0,205,20
8.0,508,120.0,205,20
56.0,1522,225.0,205,20
3.0,740,180.0,205,20
14.0,340,180.0,205,20
98.0,213,255.0,205,20
91.0,426,270.0,205,20
38.0,184,225.0,205,20
11.0,425,120.0,205,20
8.0,740,225.0,205,20
43.0,184,255.0,205,20
29.0,144,105.0,205,20
28.0,508,210.0,205,20
3.0,187,270.0,205,20
13.0,340,120.0,205,20
16.0,483,240.0,205,20
19.0,94,240.0,205,20
57.0,213,300.0,205,20
38.0,288,180.0,257,20
57.0,144,240.0,257,20
4.0,760,150.0,257,20
141.0,184,120.0,257,20
35.0,267,105.0,257,20
87.0,1522,225.0,257,20
128.0,106,225.0,257,20
153.0,106,105.0,257,20
18.0,766,285.0,257,20
34.0,426,270.0,257,20
59.0,267,255.0,257,20
22.0,740,150.0,257,20
3.0,740,315.0,257,20
8.0,184,225.0,257,20
15.0,589,180.0,257,20
17.0,425,120.0,257,20
26.0,184,255.0,257,20
29.0,187,150.0,257,20
9.0,187,180.0,257,20
5.0,187,270.0,257,20
44.0,340,120.0,257,20
4.0,267,180.0,257,20
19.0,508,270.0,257,20
2.0,94,240.0,257,20
19.0,213,300.0,257,20
28.0,209,105.0,308,20
18.0,425,300.0,308,20
4.0,508,120.0,308,20
72.0,1522,225.0,308,20
8.0,106,105.0,308,20
26.0,184,225.0,308,20
6.0,425,120.0,308,20
139.0,740,225.0,308,20
6.0,187,180.0,308,20
23.0,340,120.0,308,20
27.0,267,180.0,308,20
17.0,209,180.0,0,20
4.0,760,150.0,0,20
27.0,425,210.0,0,20
11.0,1522,225.0,0,20
46.0,106,225.0,0,20
26.0,94,300.0,0,20
73.0,740,180.0,0,20
9.0,340,180.0,0,20
13.0,106,105.0,0,20
1.0,213,225.0,0,20
9.0,766,150.0,0,20
23.0,184,225.0,0,20
8.0,740,225.0,0,20
73.0,184,255.0,0,20
4.0,187,180.0,0,20
21.0,508,210.0,0,20
26.0,187,270.0,0,20
2.0,267,180.0,0,20
43.0,508,270.0,0,20
8.0,213,165.0,51,20
146.0,340,210.0,51,20
21.0,264,105.0,51,20
27.0,760,150.0,51,20
28.0,184,120.0,51,20
19.0,267,105.0,51,20
7.0,1522,225.0,51,20
13.0,94,300.0,51,20
39.0,589,315.0,51,20
8.0,740,180.0,51,20
81.0,213,255.0,51,20
6.0,766,285.0,51,20
55.0,426,270.0,51,20
51.0,213,225.0,51,20
39.0,589,225.0,51,20
16.0,740,150.0,51,20
140.0,740,315.0,51,20
113.0,184,225.0,51,20
14.0,740,225.0,51,20
69.0,184,255.0,51,20
2.0,144,105.0,51,20
224.0,187,150.0,51,20
8.0,508,210.0,51,20
42.0,187,270.0,51,20
2.0,340,300.0,51,20
138.0,213,300.0,51,20
62.0,340,210.0,102,20
22.0,209,105.0,102,20
29.0,288,180.0,102,20
8.0,264,105.0,102,20
28.0,144,240.0,102,20
47.0,264,225.0,102,20
7.0,184,120.0,102,20
38.0,425,300.0,102,20
9.0,508,120.0,102,20
14.0,267,105.0,102,20
7.0,425,210.0,102,20
71.0,1522,225.0,102,20
58.0,106,225.0,102,20
11.0,94,300.0,102,20
3.0,589,315.0,102,20
4.0,740,180.0,102,20
1.0,340,180.0,102,20
41.0,213,255.0,102,20
4.0,106,105.0,102,20
60.0,766,285.0,102,20
84.0,426,270.0,102,20
79.0,267,255.0,102,20
26.0,213,225.0,102,20
32.0,589,225.0,102,20
3.0,740,150.0,102,20
110.0,740,315.0,102,20
48.0,184,225.0,102,20
12.0,589,180.0,102,20
2.0,740,225.0,102,20
127.0,184,255.0,102,20
33.0,144,105.0,102,20
28.0,508,210.0,102,20
98.0,187,270.0,102,20
55.0,483,240.0,102,20
15.0,483,300.0,102,20
52.0,340,300.0,102,20
54.0,508,270.0,102,20
26.0,144,240.0,154,20
7.0,425,210.0,154,20
74.0,892,150.0,154,20
22.0,106,225.0,154,20
1.0,94,300.0,154,20
31.0,589,315.0,154,20
2.0,740,150.0,154,20
13.0,184,225.0,154,20
9.0,340,120.0,154,20
4.0,267,180.0,154,20
14.0,508,270.0,154,20
11.0,213,300.0,154,20
80.0,340,210.0,205,20
2.0,209,105.0,205,20
16.0,264,105.0,205,20
10.0,144,240.0,205,20
11.0,508,120.0,205,20
32.0,1522,225.0,205,20
4.0,106,225.0,205,20
38.0,94,300.0,205,20
6.0,892,225.0,205,20
9.0,340,180.0,205,20
6.0,213,255.0,205,20
2.0,766,285.0,205,20
5.0,426,270.0,205,20
15.0,589,225.0,205,20
58.0,184,225.0,205,20
5.0,589,180.0,205,20
43.0,425,120.0,205,20
18.0,740,225.0,205,20
26.0,184,255.0,205,20
6.0,508,210.0,205,20
5.0,187,270.0,205,20
22.0,340,300.0,205,20
24.0,209,105.0,257,20
7.0,144,240.0,257,20
9.0,760,150.0,257,20
2.0,892,150.0,257,20
40.0,1522,225.0,257,20
9.0,106,225.0,257,20
1.0,213,255.0,257,20
11.0,766,285.0,257,20
4.0,94,315.0,257,20
7.0,740,150.0,257,20
31.0,425,120.0,257,20
44.0,184,255.0,257,20
54.0,144,105.0,257,20
17.0,508,210.0,257,20
19.0,187,270.0,257,20
13.0,340,120.0,257,20
21.0,340,300.0,257,20
40.0,94,240.0,257,20
33.0,213,300.0,257,20
21.0,340,210.0,308,30
1.0,213,120.0,308,30
25.0,508,120.0,308,30
18.0,425,210.0,308,30
39.0,106,225.0,308,30
39.0,589,315.0,308,30
1.0,740,180.0,308,30
3.0,426,270.0,308,30
9.0,425,120.0,308,30
4.0,187,180.0,308,30
18.0,508,210.0,308,30
10.0,340,120.0,308,30
20.0,267,180.0,308,30
6.0,508,270.0,308,30
14.0,340,210.0,0,30
5.0,209,180.0,0,30
46.0,288,165.0,0,30
55.0,144,240.0,0,30
23.0,760,150.0,0,30
14.0,425,210.0,0,30
57.0,1522,225.0,0,30
56.0,106,225.0,0,30
16.0,589,315.0,0,30
8.0,892,225.0,0,30
12.0,740,180.0,0,30
21.0,340,180.0,0,30
21.0,213,255.0,0,30
8.0,106,105.0,0,30
31.0,766,285.0,0,30
24.0,267,255.0,0,30
33.0,589,225.0,0,30
265.0,740,315.0,0,30
88.0,184,225.0,0,30
13.0,740,225.0,0,30
16.0,184,255.0,0,30
29.0,187,180.0,0,30
11.0,508,210.0,0,30
40.0,187,270.0,0,30
39.0,340,300.0,0,30
19.0,508,270.0,0,30
62.0,213,300.0,0,30
15.0,213,165.0,51,30
6.0,264,105.0,51,30
30.0,760,150.0,51,30
4.0,213,120.0,51,30
28.0,184,120.0,51,30
11.0,508,120.0,51,30
7.0,1522,225.0,51,30
7.0,106,225.0,51,30
7.0,589,315.0,51,30
26.0,213,255.0,51,30
3.0,106,105.0,51,30
4.0,766,285.0,51,30
41.0,213,225.0,51,30
61.0,740,150.0,51,30
24.0,766,150.0,51,30
67.0,740,315.0,51,30
56.0,184,225.0,51,30
3.0,589,180.0,51,30
3.0,425,120.0,51,30
25.0,740,225.0,51,30
19.0,187,150.0,51,30
14.0,187,180.0,51,30
29.0,340,120.0,51,30
13.0,213,300.0,51,30
1.0,264,105.0,102,30
5.0,213,120.0,102,30
20.0,425,300.0,102,30
42.0,1522,225.0,102,30
19.0,766,285.0,102,30
7.0,426,270.0,102,30
2.0,740,315.0,102,30
24.0,184,225.0,102,30
37.0,340,300.0,102,30
14.0,213,300.0,102,30
3.0,213,120.0,154,30
3.0,425,300.0,154,30
6.0,508,120.0,154,30
16.0,892,150.0,154,30
35.0,1522,225.0,154,30
10.0,106,225.0,154,30
32.0,94,300.0,154,30
14.0,589,315.0,154,30
52.0,740,150.0,154,30
95.0,766,150.0,154,30
28.0,184,225.0,154,30
5.0,589,180.0,154,30
28.0,425,120.0,154,30
8.0,187,270.0,154,30
35.0,340,120.0,154,30
5.0,267,180.0,154,30
3.0,508,270.0,154,30
57.0,213,300.0,154,30
166.0,288,180.0,205,30
14.0,144,240.0,205,30
1.0,264,225.0,205,30
154.0,760,150.0,205,30
10.0,425,300.0,205,30
6.0,508,120.0,205,30
8.0,267,105.0,205,30
12.0,425,210.0,205,30
17.0,1522,225.0,205,30
9.0,106,225.0,205,30
23.0,892,225.0,205,30
11.0,213,255.0,205,30
20.0,740,150.0,205,30
22.0,766,150.0,205,30
13.0,740,225.0,205,30
11.0,187,270.0,205,30
13.0,340,300.0,205,30
200.0,2586,210.0,308,0
4.0,2586,210.0,0,10
30.0,2586,210.0,257,10
22.0,2586,210.0,308,10
9.0,2586,210.0,51,10
8.0,2586,210.0,102,10
103.0,2586,210.0,205,20
13.0,2586,210.0,51,20
13.0,2586,210.0,308,30
278.0,2586,240.0,257,0
8.0,2586,240.0,51,10
36.0,2586,240.0,102,10
15.0,2586,240.0,205,10
2.0,2586,240.0,257,10
5.0,2586,240.0,0,10
48.0,2586,240.0,51,10
13.0,2586,240.0,154,20
22.0,2586,240.0,205,20
10.0,2586,240.0,257,20
4.0,2586,240.0,308,20
8.0,2586,240.0,51,20
10.0,2586,240.0,102,20
16.0,2586,240.0,205,20
78.0,2586,240.0,308,30
10.0,2586,240.0,51,30
2.0,2586,240.0,154,30
15.0,2586,270.0,154,0
13.0,2586,270.0,205,0
154.0,2586,255.0,102,10
6.0,2586,255.0,154,10
4.0,2586,255.0,205,10
126.0,2586,255.0,257,10
28.0,2586,255.0,308,10
15.0,2586,255.0,0,10
78.0,2586,255.0,51,10
34.0,2586,255.0,102,10
15.0,2586,255.0,205,20
69.0,2586,255.0,308,20
20.0,2586,255.0,0,20
15.0,2586,255.0,51,20
9.0,2586,255.0,102,20
21.0,2586,255.0,154,20
30.0,2586,255.0,205,20
25.0,2586,255.0,257,20
9.0,2586,255.0,308,30
29.0,2586,255.0,0,30
26.0,2586,255.0,205,30
9.0,2586,330.0,154,0
91.0,2586,330.0,257,0
26.0,2586,330.0,308,0
34.0,2586,330.0,0,10
51.0,2586,315.0,102,10
7.0,2586,315.0,154,10
